Best Practice,The R Development Guide, R Contributor Website,The CRAN Cookbook,The R Translations Dashboard,The R Dev Container
README.md,TRUE,TRUE,TRUE,TRUE,TRUE
CONTRIBUTING.md,TRUE,FALSE,TRUE,FALSE,TRUE
LICENSE.md,TRUE,TRUE,FALSE,TRUE,TRUE
CODE_OF_CONDUCT.md,TRUE,FALSE,FALSE,FALSE,TRUE
Dependabot alerts,FALSE,FALSE,FALSE,FALSE,FALSE
Secret scanning,FALSE,FALSE,FALSE,FALSE,FALSE
Protecting branches,FALSE,FALSE,FALSE,FALSE,FALSE
Code scanning,FALSE,FALSE,FALSE,FALSE,FALSE
All Contributors,FALSE,FALSE,FALSE,FALSE,TRUE
CITATION,FALSE,FALSE,FALSE,FALSE,TRUE
Repository Topics,FALSE,FALSE,FALSE,FALSE,FALSE
Accessibility,FALSE,FALSE,FALSE,FALSE,FALSE
Engagement and Contribution,FALSE,FALSE,TRUE,FALSE,TRUE
Website or homepage URL,TRUE,TRUE,TRUE,FALSE,TRUE
GitHub releases,FALSE,FALSE,FALSE,FALSE,FALSE
semantic versioning,FALSE,FALSE,FALSE,FALSE,FALSE
Release strategy,FALSE,FALSE,FALSE,FALSE,FALSE
Pre-commit hooks,FALSE,FALSE,FALSE,FALSE,FALSE
.gitignore file,TRUE,TRUE,TRUE,TRUE,TRUE
